Req Code; ID; RF; Cal; Ch, W#; t_ow mil; t_ow submil; Event
99; 232; 0; 1; 1; 0; 14112447; 449956; 0
99; 232; 1; 1; 1; 0; 14112447; 449995; 0
99; 232; 0; 1; 0; 0; 14112452; 602854; 0
99; 232; 1; 1; 0; 0; 14112452; 602885; 0
99; 232; 0; 1; 1; 0; 14112452; 602846; 0
99; 232; 1; 1; 1; 0; 14112452; 602885; 0
99; 232; 0; 1; 0; 0; 14112457; 755096; 0
99; 232; 1; 1; 0; 0; 14112457; 755135; 0
99; 232; 0; 1; 1; 0; 14112457; 755096; 0
99; 232; 1; 1; 1; 0; 14112457; 755135; 0
99; 232; 0; 1; 0; 0; 14112462; 907315; 0
99; 232; 1; 1; 0; 0; 14112462; 907354; 0
99; 232; 0; 1; 1; 0; 14112462; 907315; 0
99; 232; 1; 1; 1; 0; 14112462; 907354; 0
99; 232; 0; 1; 0; 0; 14112468; 60104; 0
99; 232; 1; 1; 0; 0; 14112468; 60144; 0
99; 232; 0; 1; 1; 0; 14112468; 60104; 0
99; 232; 1; 1; 1; 0; 14112468; 60144; 0
99; 232; 0; 1; 0; 0; 14112473; 212572; 0
99; 232; 1; 1; 0; 0; 14112473; 212612; 0
99; 232; 0; 1; 1; 0; 14112473; 212572; 0
99; 232; 1; 1; 1; 0; 14112473; 212612; 0
99; 232; 0; 1; 0; 0; 14112478; 364690; 0
99; 232; 1; 1; 0; 0; 14112478; 364728; 0
99; 232; 0; 1; 1; 0; 14112478; 364690; 0
99; 232; 1; 1; 1; 0; 14112478; 364728; 0
99; 232; 0; 1; 0; 0; 14112483; 517516; 0
99; 232; 1; 1; 0; 0; 14112483; 517556; 0
99; 232; 0; 1; 1; 0; 14112483; 517516; 0
99; 232; 1; 1; 1; 0; 14112483; 517556; 0
99; 232; 0; 1; 0; 0; 14112488; 670044; 0
99; 232; 1; 1; 0; 0; 14112488; 670080; 0
99; 232; 0; 1; 1; 0; 14112488; 670044; 0
99; 232; 1; 1; 1; 0; 14112488; 670080; 0
99; 232; 0; 1; 0; 0; 14112493; 822196; 0
99; 232; 1; 1; 0; 0; 14112493; 822228; 0
99; 232; 0; 1; 1; 0; 14112493; 822188; 0
99; 232; 1; 1; 1; 0; 14112493; 822228; 0
99; 232; 0; 1; 0; 0; 14112498; 974292; 0
99; 232; 0; 1; 1; 0; 14112596; 872456; 1
99; 232; 1; 1; 1; 0; 14112596; 872495; 1
99; 232; 0; 1; 0; 0; 14112602; 24518; 1
99; 232; 1; 1; 0; 0; 14112602; 24557; 1
99; 232; 0; 1; 1; 0; 14112602; 24518; 1
99; 232; 1; 1; 1; 0; 14112602; 24557; 1
99; 232; 0; 1; 0; 0; 14112607; 176987; 1
99; 232; 1; 1; 0; 0; 14112607; 177018; 1
99; 232; 0; 1; 1; 0; 14112607; 176987; 1
99; 232; 1; 1; 1; 0; 14112607; 177018; 1
99; 232; 0; 1; 0; 0; 14112612; 328346; 1
99; 232; 1; 1; 0; 0; 14112612; 328385; 1
99; 232; 0; 1; 1; 0; 14112612; 328346; 1
99; 232; 1; 1; 1; 0; 14112612; 328385; 1
99; 232; 0; 1; 0; 0; 14112617; 480160; 1
99; 232; 1; 1; 0; 0; 14112617; 480190; 1
99; 232; 0; 1; 1; 0; 14112617; 480152; 1
99; 232; 1; 1; 1; 0; 14112617; 480190; 1
99; 232; 0; 1; 0; 0; 14112622; 631728; 1
99; 232; 1; 1; 0; 0; 14112622; 631768; 1
99; 232; 0; 1; 1; 0; 14112622; 631728; 1
99; 232; 1; 1; 1; 0; 14112622; 631768; 1
99; 232; 0; 1; 0; 0; 14112627; 783884; 1
99; 232; 1; 1; 0; 0; 14112627; 783924; 1
99; 232; 0; 1; 1; 0; 14112627; 783884; 1
99; 232; 1; 1; 1; 0; 14112627; 783924; 1
99; 232; 0; 1; 0; 0; 14112632; 935504; 1
99; 232; 1; 1; 0; 0; 14112632; 935536; 1
99; 232; 0; 1; 1; 0; 14112632; 935496; 1
99; 232; 1; 1; 1; 0; 14112632; 935536; 1
99; 232; 0; 1; 0; 0; 14112638; 86704; 1
99; 232; 1; 1; 0; 0; 14112638; 86744; 1
99; 232; 0; 1; 1; 0; 14112638; 86704; 1
99; 232; 1; 1; 1; 0; 14112638; 86744; 1
99; 232; 0; 1; 0; 0; 14112643; 238628; 1
99; 232; 1; 1; 0; 0; 14112643; 238668; 1
99; 232; 0; 1; 1; 0; 14112643; 238628; 1
99; 232; 1; 1; 1; 0; 14112643; 238668; 1
99; 232; 0; 1; 0; 0; 14112648; 390588; 1
99; 232; 0; 1; 1; 0; 14112746; 275979; 2
99; 232; 1; 1; 1; 0; 14112746; 276018; 2
99; 232; 0; 1; 0; 0; 14112751; 427901; 2
99; 232; 1; 1; 0; 0; 14112751; 427940; 2
99; 232; 0; 1; 1; 0; 14112751; 427901; 2
99; 232; 1; 1; 1; 0; 14112751; 427940; 2
99; 232; 0; 1; 0; 0; 14112756; 580112; 2
99; 232; 1; 1; 0; 0; 14112756; 580143; 2
99; 232; 0; 1; 1; 0; 14112756; 580112; 2
99; 232; 1; 1; 1; 0; 14112756; 580143; 2
99; 232; 0; 1; 0; 0; 14112761; 731776; 2
99; 232; 1; 1; 0; 0; 14112761; 731815; 2
99; 232; 0; 1; 1; 0; 14112761; 731776; 2
99; 232; 1; 1; 1; 0; 14112761; 731815; 2
99; 232; 0; 1; 0; 0; 14112766; 884207; 2
99; 232; 1; 1; 0; 0; 14112766; 884245; 2
99; 232; 0; 1; 1; 0; 14112766; 884207; 2
99; 232; 1; 1; 1; 0; 14112766; 884245; 2
99; 232; 0; 1; 0; 0; 14112772; 36699; 2
99; 232; 1; 1; 0; 0; 14112772; 36729; 2
99; 232; 0; 1; 1; 0; 14112772; 36691; 2
99; 232; 1; 1; 1; 0; 14112772; 36729; 2
99; 232; 0; 1; 0; 0; 14112777; 188775; 2
99; 232; 1; 1; 0; 0; 14112777; 188815; 2
99; 232; 0; 1; 1; 0; 14112777; 188775; 2
99; 232; 1; 1; 1; 0; 14112777; 188815; 2
99; 232; 0; 1; 0; 0; 14112782; 340759; 2
99; 232; 1; 1; 0; 0; 14112782; 340799; 2
99; 232; 0; 1; 1; 0; 14112782; 340759; 2
99; 232; 1; 1; 1; 0; 14112782; 340799; 2
99; 232; 0; 1; 0; 0; 14112787; 492643; 2
99; 232; 1; 1; 0; 0; 14112787; 492675; 2
99; 232; 0; 1; 1; 0; 14112787; 492643; 2
99; 232; 1; 1; 1; 0; 14112787; 492675; 2
99; 232; 0; 1; 0; 0; 14112792; 644739; 2
99; 232; 1; 1; 0; 0; 14112792; 644767; 2
99; 232; 0; 1; 1; 0; 14112792; 644731; 2
99; 232; 1; 1; 1; 0; 14112792; 644767; 2
99; 232; 0; 1; 0; 0; 14112797; 797419; 2
99; 232; 0; 1; 1; 0; 14112895; 687464; 3
99; 232; 1; 1; 1; 0; 14112895; 687503; 3
99; 232; 0; 1; 0; 0; 14112900; 839315; 3
99; 232; 1; 1; 0; 0; 14112900; 839354; 3
99; 232; 0; 1; 1; 0; 14112900; 839315; 3
99; 232; 1; 1; 1; 0; 14112900; 839354; 3
99; 232; 0; 1; 0; 0; 14112905; 991198; 3
99; 232; 1; 1; 0; 0; 14112905; 991229; 3
99; 232; 0; 1; 1; 0; 14112905; 991198; 3
99; 232; 1; 1; 1; 0; 14112905; 991237; 3
99; 232; 0; 1; 0; 0; 14112911; 143893; 3
99; 232; 1; 1; 0; 0; 14112911; 143932; 3
99; 232; 0; 1; 1; 0; 14112911; 143893; 3
99; 232; 1; 1; 1; 0; 14112911; 143932; 3
99; 232; 0; 1; 0; 0; 14112916; 295878; 3
99; 232; 1; 1; 0; 0; 14112916; 295916; 3
99; 232; 0; 1; 1; 0; 14112916; 295878; 3
99; 232; 1; 1; 1; 0; 14112916; 295916; 3
99; 232; 0; 1; 0; 0; 14112921; 447206; 3
99; 232; 1; 1; 0; 0; 14112921; 447244; 3
99; 232; 0; 1; 1; 0; 14112921; 447206; 3
99; 232; 1; 1; 1; 0; 14112921; 447244; 3
99; 232; 0; 1; 0; 0; 14112926; 598964; 3
99; 232; 1; 1; 0; 0; 14112926; 599004; 3
99; 232; 0; 1; 1; 0; 14112926; 598964; 3
99; 232; 1; 1; 1; 0; 14112926; 599004; 3
99; 232; 0; 1; 0; 0; 14112931; 750752; 3
99; 232; 1; 1; 0; 0; 14112931; 750792; 3
99; 232; 0; 1; 1; 0; 14112931; 750752; 3
99; 232; 1; 1; 1; 0; 14112931; 750792; 3
99; 232; 0; 1; 0; 0; 14112936; 902016; 3
99; 232; 1; 1; 0; 0; 14112936; 902048; 3
99; 232; 0; 1; 1; 0; 14112936; 902008; 3
99; 232; 1; 1; 1; 0; 14112936; 902048; 3
