Req Code; ID; RF; Cal; Ch, W#; t_ow mil; t_ow submil; Event
99; 112; 0; 1; 1; 0; 1267747; 468807; 0
99; 112; 1; 1; 1; 0; 1267747; 468839; 0
99; 112; 0; 1; 0; 0; 1267752; 435487; 0
99; 112; 1; 1; 0; 0; 1267752; 435526; 0
99; 112; 0; 1; 1; 0; 1267752; 435487; 0
99; 112; 1; 1; 1; 0; 1267752; 435526; 0
99; 112; 0; 1; 0; 0; 1267757; 401885; 0
99; 112; 1; 1; 0; 0; 1267757; 401925; 0
99; 112; 0; 1; 1; 0; 1267757; 401885; 0
99; 112; 1; 1; 1; 0; 1267757; 401925; 0
99; 112; 0; 1; 0; 0; 1267762; 367964; 0
99; 112; 1; 1; 0; 0; 1267762; 367995; 0
99; 112; 0; 1; 1; 0; 1267762; 367956; 0
99; 112; 1; 1; 1; 0; 1267762; 367995; 0
99; 112; 0; 1; 0; 0; 1267767; 334003; 0
99; 112; 1; 1; 0; 0; 1267767; 334043; 0
99; 112; 0; 1; 1; 0; 1267767; 334003; 0
99; 112; 1; 1; 1; 0; 1267767; 334035; 0
99; 112; 0; 1; 0; 0; 1267772; 300307; 0
99; 112; 1; 1; 0; 0; 1267772; 300347; 0
99; 112; 0; 1; 1; 0; 1267772; 300307; 0
99; 112; 1; 1; 1; 0; 1267772; 300347; 0
99; 112; 0; 1; 0; 0; 1267777; 266487; 0
99; 112; 1; 1; 0; 0; 1267777; 266527; 0
99; 112; 0; 1; 1; 0; 1267777; 266487; 0
99; 112; 1; 1; 1; 0; 1267777; 266527; 0
99; 112; 0; 1; 0; 0; 1267782; 232715; 0
99; 112; 1; 1; 0; 0; 1267782; 232743; 0
99; 112; 0; 1; 1; 0; 1267782; 232707; 0
99; 112; 1; 1; 1; 0; 1267782; 232743; 0
99; 112; 0; 1; 0; 0; 1267787; 198543; 0
99; 112; 1; 1; 0; 0; 1267787; 198583; 0
99; 112; 0; 1; 1; 0; 1267787; 198543; 0
99; 112; 1; 1; 1; 0; 1267787; 198575; 0
99; 112; 0; 1; 0; 0; 1267792; 164919; 0
99; 112; 1; 1; 0; 0; 1267792; 164955; 0
99; 112; 0; 1; 1; 0; 1267792; 164919; 0
99; 112; 1; 1; 1; 0; 1267792; 164955; 0
