Req Code; ID; RF; Cal; Ch, W#; t_ow mil; t_ow submil; Event
99; 164; 0; 1; 1; 0; 1892347; 798104; 1
99; 164; 1; 1; 1; 0; 1892347; 808854; 1
99; 164; 0; 1; 0; 0; 1892352; 879792; 1
99; 164; 1; 1; 0; 0; 1892352; 890542; 1
99; 164; 0; 1; 1; 0; 1892352; 879792; 1
99; 164; 1; 1; 1; 0; 1892352; 890542; 1
99; 164; 0; 1; 0; 0; 1892357; 961557; 1
99; 164; 1; 1; 0; 0; 1892357; 972315; 1
99; 164; 0; 1; 1; 0; 1892357; 961557; 1
99; 164; 1; 1; 1; 0; 1892357; 972315; 1
99; 164; 0; 1; 0; 0; 1892363; 43112; 1
99; 164; 1; 1; 0; 0; 1892363; 53862; 1
99; 164; 0; 1; 1; 0; 1892363; 43112; 1
99; 164; 1; 1; 1; 0; 1892363; 53862; 1
99; 164; 0; 1; 0; 0; 1892368; 124378; 1
99; 164; 1; 1; 0; 0; 1892368; 135136; 1
99; 164; 0; 1; 1; 0; 1892368; 124378; 1
99; 164; 1; 1; 1; 0; 1892368; 135136; 1
99; 164; 0; 1; 0; 0; 1892373; 205604; 1
99; 164; 1; 1; 0; 0; 1892373; 216362; 1
99; 164; 0; 1; 1; 0; 1892373; 205604; 1
99; 164; 1; 1; 1; 0; 1892373; 216362; 1
99; 164; 0; 1; 0; 0; 1892378; 287292; 1
99; 164; 1; 1; 0; 0; 1892378; 298048; 1
99; 164; 0; 1; 1; 0; 1892378; 287292; 1
99; 164; 1; 1; 1; 0; 1892378; 298042; 1
99; 164; 0; 1; 0; 0; 1892383; 369360; 1
99; 164; 1; 1; 0; 0; 1892383; 380120; 1
99; 164; 0; 1; 1; 0; 1892383; 369360; 1
99; 164; 1; 1; 1; 0; 1892383; 380120; 1
99; 164; 0; 1; 0; 0; 1892388; 451056; 1
99; 164; 1; 1; 0; 0; 1892388; 461808; 1
99; 164; 0; 1; 1; 0; 1892388; 451048; 1
99; 164; 1; 1; 1; 0; 1892388; 461808; 1
99; 164; 0; 1; 0; 0; 1892393; 533008; 1
99; 164; 1; 1; 0; 0; 1892393; 543768; 1
99; 164; 0; 1; 1; 0; 1892393; 533008; 1
99; 164; 1; 1; 1; 0; 1892393; 543768; 1
99; 164; 0; 1; 0; 0; 1892398; 614768; 1
99; 164; 1; 1; 0; 0; 1892398; 625528; 1
99; 164; 0; 1; 1; 0; 1892398; 614768; 1
99; 164; 0; 1; 1; 0; 1892545; 977753; 2
99; 164; 1; 1; 1; 0; 1892545; 988510; 2
99; 164; 0; 1; 0; 0; 1892551; 59471; 2
99; 164; 1; 1; 0; 0; 1892551; 70229; 2
99; 164; 0; 1; 1; 0; 1892551; 59471; 2
99; 164; 1; 1; 1; 0; 1892551; 70221; 2
99; 164; 0; 1; 0; 0; 1892556; 140456; 2
99; 164; 1; 1; 0; 0; 1892556; 151214; 2
99; 164; 0; 1; 1; 0; 1892556; 140456; 2
99; 164; 1; 1; 1; 0; 1892556; 151214; 2
99; 164; 0; 1; 0; 0; 1892561; 222260; 2
99; 164; 1; 1; 0; 0; 1892561; 233018; 2
99; 164; 0; 1; 1; 0; 1892561; 222260; 2
99; 164; 1; 1; 1; 0; 1892561; 233018; 2
99; 164; 0; 1; 0; 0; 1892566; 304345; 2
99; 164; 1; 1; 0; 0; 1892566; 315113; 2
99; 164; 0; 1; 1; 0; 1892566; 304345; 2
99; 164; 1; 1; 1; 0; 1892566; 315113; 2
99; 164; 0; 1; 0; 0; 1892571; 386377; 2
99; 164; 1; 1; 0; 0; 1892571; 397129; 2
99; 164; 0; 1; 1; 0; 1892571; 386377; 2
99; 164; 1; 1; 1; 0; 1892571; 397129; 2
99; 164; 0; 1; 0; 0; 1892576; 468213; 2
99; 164; 1; 1; 0; 0; 1892576; 478965; 2
99; 164; 0; 1; 1; 0; 1892576; 468213; 2
99; 164; 1; 1; 1; 0; 1892576; 478965; 2
99; 164; 0; 1; 0; 0; 1892581; 549433; 2
99; 164; 1; 1; 0; 0; 1892581; 560189; 2
99; 164; 0; 1; 1; 0; 1892581; 549433; 2
99; 164; 1; 1; 1; 0; 1892581; 560181; 2
99; 164; 0; 1; 0; 0; 1892586; 631041; 2
99; 164; 1; 1; 0; 0; 1892586; 641801; 2
99; 164; 0; 1; 1; 0; 1892586; 631041; 2
99; 164; 1; 1; 1; 0; 1892586; 641801; 2
99; 164; 0; 1; 0; 0; 1892591; 712877; 2
99; 164; 1; 1; 0; 0; 1892591; 723633; 2
99; 164; 0; 1; 1; 0; 1892591; 712877; 2
99; 164; 1; 1; 1; 0; 1892591; 723633; 2
99; 164; 0; 1; 0; 0; 1892596; 794073; 2
99; 164; 1; 1; 0; 0; 1892596; 804833; 2
99; 164; 0; 1; 1; 0; 1892596; 794073; 2
99; 164; 0; 1; 1; 0; 1892749; 211643; 3
99; 164; 1; 1; 1; 0; 1892749; 222401; 3
99; 164; 0; 1; 0; 0; 1892754; 291823; 3
99; 164; 1; 1; 0; 0; 1892754; 302581; 3
99; 164; 0; 1; 1; 0; 1892754; 291823; 3
99; 164; 1; 1; 1; 0; 1892754; 302573; 3
99; 164; 0; 1; 0; 0; 1892759; 371901; 3
99; 164; 1; 1; 0; 0; 1892759; 382651; 3
99; 164; 0; 1; 1; 0; 1892759; 371901; 3
99; 164; 1; 1; 1; 0; 1892759; 382651; 3
99; 164; 0; 1; 0; 0; 1892764; 451229; 3
99; 164; 1; 1; 0; 0; 1892764; 461979; 3
99; 164; 0; 1; 1; 0; 1892764; 451229; 3
99; 164; 1; 1; 1; 0; 1892764; 461979; 3
99; 164; 0; 1; 0; 0; 1892769; 531127; 3
99; 164; 1; 1; 0; 0; 1892769; 541885; 3
99; 164; 0; 1; 1; 0; 1892769; 531127; 3
99; 164; 1; 1; 1; 0; 1892769; 541885; 3
99; 164; 0; 1; 0; 0; 1892774; 611127; 3
99; 164; 1; 1; 0; 0; 1892774; 621885; 3
99; 164; 0; 1; 1; 0; 1892774; 611127; 3
99; 164; 1; 1; 1; 0; 1892774; 621885; 3
99; 164; 0; 1; 0; 0; 1892779; 691439; 3
99; 164; 1; 1; 0; 0; 1892779; 702199; 3
99; 164; 0; 1; 1; 0; 1892779; 691439; 3
99; 164; 1; 1; 1; 0; 1892779; 702191; 3
99; 164; 0; 1; 0; 0; 1892784; 771723; 3
99; 164; 1; 1; 0; 0; 1892784; 782479; 3
99; 164; 0; 1; 1; 0; 1892784; 771723; 3
99; 164; 1; 1; 1; 0; 1892784; 782479; 3
99; 164; 0; 1; 0; 0; 1892789; 851691; 3
99; 164; 1; 1; 0; 0; 1892789; 862439; 3
99; 164; 0; 1; 1; 0; 1892789; 851683; 3
99; 164; 1; 1; 1; 0; 1892789; 862439; 3
99; 164; 0; 1; 0; 0; 1892794; 931971; 3
99; 164; 1; 1; 0; 0; 1892794; 942731; 3
99; 164; 0; 1; 1; 0; 1892794; 931971; 3
99; 164; 1; 1; 1; 0; 1892794; 942723; 3
99; 164; 0; 1; 0; 0; 1892800; 12487; 3
99; 164; 0; 1; 1; 0; 1892800; 12487; 3
99; 164; 0; 1; 1; 0; 1892947; 344690; 4
99; 164; 1; 1; 1; 0; 1892947; 355440; 4
99; 164; 0; 1; 0; 0; 1892952; 425792; 4
99; 164; 1; 1; 0; 0; 1892952; 436542; 4
99; 164; 0; 1; 1; 0; 1892952; 425792; 4
99; 164; 1; 1; 1; 0; 1892952; 436542; 4
99; 164; 0; 1; 0; 0; 1892957; 506948; 4
99; 164; 1; 1; 0; 0; 1892957; 517706; 4
99; 164; 0; 1; 1; 0; 1892957; 506948; 4
99; 164; 1; 1; 1; 0; 1892957; 517706; 4
99; 164; 0; 1; 0; 0; 1892962; 587815; 4
99; 164; 1; 1; 0; 0; 1892962; 598573; 4
99; 164; 0; 1; 1; 0; 1892962; 587815; 4
99; 164; 1; 1; 1; 0; 1892962; 598573; 4
99; 164; 0; 1; 0; 0; 1892967; 668582; 4
99; 164; 1; 1; 0; 0; 1892967; 679338; 4
99; 164; 0; 1; 1; 0; 1892967; 668582; 4
99; 164; 1; 1; 1; 0; 1892967; 679338; 4
99; 164; 0; 1; 0; 0; 1892972; 748558; 4
99; 164; 1; 1; 0; 0; 1892972; 759314; 4
99; 164; 0; 1; 1; 0; 1892972; 748558; 4
99; 164; 1; 1; 1; 0; 1892972; 759314; 4
99; 164; 0; 1; 0; 0; 1892977; 828940; 4
99; 164; 1; 1; 0; 0; 1892977; 839698; 4
99; 164; 0; 1; 1; 0; 1892977; 828940; 4
99; 164; 1; 1; 1; 0; 1892977; 839690; 4
99; 164; 0; 1; 0; 0; 1892982; 909370; 4
99; 164; 1; 1; 0; 0; 1892982; 920130; 4
99; 164; 0; 1; 1; 0; 1892982; 909370; 4
99; 164; 1; 1; 1; 0; 1892982; 920130; 4
99; 164; 0; 1; 0; 0; 1892987; 989566; 4
99; 164; 1; 1; 0; 0; 1892988; 322; 4
99; 164; 0; 1; 1; 0; 1892987; 989566; 4
99; 164; 1; 1; 1; 0; 1892988; 322; 4
99; 164; 0; 1; 0; 0; 1892993; 69478; 4
99; 164; 1; 1; 0; 0; 1892993; 80230; 4
99; 164; 0; 1; 1; 0; 1892993; 69470; 4
99; 164; 1; 1; 1; 0; 1892993; 80230; 4
99; 164; 0; 1; 0; 0; 1892998; 148762; 4
99; 164; 1; 1; 0; 0; 1892998; 159518; 4
99; 164; 0; 1; 1; 0; 1892998; 148762; 4
99; 164; 0; 1; 1; 0; 1906795; 240174; 6
99; 164; 1; 1; 1; 0; 1906795; 240214; 6
99; 164; 0; 1; 0; 0; 1906800; 318307; 6
99; 164; 1; 1; 0; 0; 1906800; 318346; 6
99; 164; 0; 1; 1; 0; 1906800; 318300; 6
99; 164; 1; 1; 1; 0; 1906800; 318346; 6
99; 164; 0; 1; 0; 0; 1906805; 397260; 6
99; 164; 1; 1; 0; 0; 1906805; 397307; 6
99; 164; 0; 1; 1; 0; 1906805; 397260; 6
99; 164; 1; 1; 1; 0; 1906805; 397300; 6
99; 164; 0; 1; 0; 0; 1906810; 476284; 6
99; 164; 1; 1; 0; 0; 1906810; 476331; 6
99; 164; 0; 1; 1; 0; 1906810; 476284; 6
99; 164; 1; 1; 1; 0; 1906810; 476331; 6
99; 164; 0; 1; 0; 0; 1906815; 555112; 6
99; 164; 1; 1; 0; 0; 1906815; 555158; 6
99; 164; 0; 1; 1; 0; 1906815; 555112; 6
99; 164; 1; 1; 1; 0; 1906815; 555158; 6
99; 164; 0; 1; 0; 0; 1906820; 633784; 6
99; 164; 1; 1; 0; 0; 1906820; 633830; 6
99; 164; 0; 1; 1; 0; 1906820; 633784; 6
99; 164; 1; 1; 1; 0; 1906820; 633830; 6
99; 164; 0; 1; 0; 0; 1906825; 712190; 6
99; 164; 1; 1; 0; 0; 1906825; 712238; 6
99; 164; 0; 1; 1; 0; 1906825; 712190; 6
99; 164; 1; 1; 1; 0; 1906825; 712238; 6
99; 164; 0; 1; 0; 0; 1906830; 791190; 6
99; 164; 1; 1; 0; 0; 1906830; 791238; 6
99; 164; 0; 1; 1; 0; 1906830; 791190; 6
99; 164; 1; 1; 1; 0; 1906830; 791230; 6
99; 164; 0; 1; 0; 0; 1906835; 870002; 6
99; 164; 1; 1; 0; 0; 1906835; 870050; 6
99; 164; 0; 1; 1; 0; 1906835; 870002; 6
99; 164; 1; 1; 1; 0; 1906835; 870050; 6
99; 164; 0; 1; 0; 0; 1906840; 948346; 6
99; 164; 1; 1; 0; 0; 1906840; 948394; 6
99; 164; 0; 1; 1; 0; 1906840; 948346; 6
99; 164; 1; 1; 1; 0; 1906840; 948386; 6
99; 164; 0; 1; 0; 0; 1906846; 27074; 6
99; 164; 1; 1; 0; 0; 1906846; 27118; 6
99; 164; 0; 1; 1; 0; 1906846; 27074; 6
99; 164; 0; 1; 1; 0; 1906998; 398503; 7
99; 164; 1; 1; 1; 0; 1906998; 398542; 7
99; 164; 0; 1; 0; 0; 1907003; 478651; 7
99; 164; 1; 1; 0; 0; 1907003; 478698; 7
99; 164; 0; 1; 1; 0; 1907003; 478651; 7
99; 164; 1; 1; 1; 0; 1907003; 478698; 7
99; 164; 0; 1; 0; 0; 1907008; 558050; 7
99; 164; 1; 1; 0; 0; 1907008; 558096; 7
99; 164; 0; 1; 1; 0; 1907008; 558050; 7
99; 164; 1; 1; 1; 0; 1907008; 558096; 7
99; 164; 0; 1; 0; 0; 1907013; 637971; 7
99; 164; 1; 1; 0; 0; 1907013; 638010; 7
99; 164; 0; 1; 1; 0; 1907013; 637971; 7
99; 164; 1; 1; 1; 0; 1907013; 638010; 7
99; 164; 0; 1; 0; 0; 1907018; 718027; 7
99; 164; 1; 1; 0; 0; 1907018; 718065; 7
99; 164; 0; 1; 1; 0; 1907018; 718027; 7
99; 164; 1; 1; 1; 0; 1907018; 718065; 7
99; 164; 0; 1; 0; 0; 1907023; 797917; 7
99; 164; 1; 1; 0; 0; 1907023; 797963; 7
99; 164; 0; 1; 1; 0; 1907023; 797917; 7
99; 164; 1; 1; 1; 0; 1907023; 797963; 7
99; 164; 0; 1; 0; 0; 1907028; 877831; 7
99; 164; 1; 1; 0; 0; 1907028; 877871; 7
99; 164; 0; 1; 1; 0; 1907028; 877823; 7
99; 164; 1; 1; 1; 0; 1907028; 877871; 7
99; 164; 0; 1; 0; 0; 1907033; 957159; 7
99; 164; 1; 1; 0; 0; 1907033; 957199; 7
99; 164; 0; 1; 1; 0; 1907033; 957159; 7
99; 164; 1; 1; 1; 0; 1907033; 957199; 7
99; 164; 0; 1; 0; 0; 1907039; 37127; 7
99; 164; 1; 1; 0; 0; 1907039; 37167; 7
99; 164; 0; 1; 1; 0; 1907039; 37127; 7
99; 164; 1; 1; 1; 0; 1907039; 37167; 7
99; 164; 0; 1; 0; 0; 1907044; 117371; 7
99; 164; 1; 1; 0; 0; 1907044; 117415; 7
99; 164; 0; 1; 1; 0; 1907044; 117371; 7
99; 164; 1; 1; 1; 0; 1907044; 117407; 7
99; 164; 0; 1; 0; 0; 1907049; 197339; 7
99; 164; 1; 1; 0; 0; 1907049; 197383; 7
99; 164; 0; 1; 1; 0; 1907049; 197339; 7
99; 164; 0; 1; 1; 0; 1907196; 495956; 8
99; 164; 1; 1; 1; 0; 1907196; 495995; 8
99; 164; 0; 1; 0; 0; 1907201; 575346; 8
